QueryId,DocumentId
101,5
101,0
101,9
101,13
101,1
101,17
101,12
101,18
101,4
101,23
101,3
101,19
101,27
101,15
101,11
101,16
101,8
101,20
101,22
101,25
101,26
101,24
101,2
101,21
101,14
101,10
101,7
101,6
102,1
102,6
102,2
102,0
102,3
102,4
103,5
103,23
103,14
103,11
103,9
103,1
103,27
103,28
103,26
103,21
103,7
103,17
103,13
103,2
103,19
103,18
103,24
103,16
103,22
103,20
103,4
103,12
103,25
103,3
103,31
103,30
103,10
103,29
103,0
103,15
104,8
104,26
104,4
104,16
104,12
104,22
104,1
104,18
104,5
104,10
104,7
104,19
104,25
104,3
104,0
104,14
104,27
104,17
104,13
104,6
104,21
104,11
104,15
104,20
104,9
104,23
104,2
104,24
105,5
105,9
105,8
105,0
105,7
105,6
105,4
105,3
105,2
105,1
106,9
106,26
106,17
106,32
106,0
106,5
106,10
106,27
106,36
106,30
106,22
106,38
106,15
106,21
106,40
106,35
106,6
106,3
106,39
106,24
106,16
106,28
106,34
106,29
106,13
106,11
106,2
106,31
106,33
106,14
106,7
106,23
106,19
106,8
106,37
106,1
106,25
106,12
106,4
106,18
106,20
